CellID,Max,MCH01,MCH02,MCH03,MCH04,MCH05,MCH06,MCH07,MCH08,MCH09,MCH10
160705_05_ROI2,1.352,1.000,0.414,0.078,0.182,-0.094,0.125,-0.121,0.056,0.044,-0.112
160705_08,0.945,1.000,0.718,0.374,0.332,0.251,0.159,0.432,0.111,-0.002,0.047
160707_03,1.106,1.000,0.289,0.070,0.044,-0.039,-0.194,-0.028,-0.054,-0.166,-0.065
160707_04,1.364,1.000,0.368,0.362,-0.021,-0.048,0.066,-0.034,-0.024,0.132,-0.147
160715_04_ROI1,1.732,0.805,0.748,1.000,0.746,0.591,0.531,0.625,0.502,0.243,0.122
160715_04_ROI2,1.518,1.000,0.881,0.462,0.641,0.540,0.396,0.383,0.316,0.079,0.080
160630_06,1.281,1.000,0.572,0.282,0.147,0.354,0.064,0.168,-0.176,-0.147,-0.176
160705_02,0.715,1.000,0.542,0.001,0.109,0.098,0.198,-0.157,0.177,0.023,-0.190
160705_04,1.049,1.000,0.254,0.257,-0.031,-0.209,0.042,-0.134,-0.162,0.002,-0.095
160705_06,2.563,1.000,0.413,0.367,0.177,0.109,0.064,0.020,0.039,0.007,0.016
160705_07,2.035,1.000,0.296,0.143,0.060,-0.051,-0.091,0.021,-0.053,-0.067,-0.125
160707_01,2.409,1.000,0.742,0.700,0.547,0.342,0.444,0.317,0.372,-0.044,0.113
160707_02,1.315,1.000,0.060,0.209,0.190,0.070,0.142,0.069,-0.055,0.104,-0.083
160715_01,1.155,1.000,0.314,0.239,0.028,0.241,0.006,-0.023,-0.072,-0.075,-0.031
160715_02_ROI1,2.630,1.000,0.691,0.225,0.149,0.221,0.072,0.018,0.080,0.037,0.034
160715_02_ROI2,2.115,1.000,0.510,0.268,0.100,0.058,-0.007,0.018,0.027,-0.025,-0.076
160715_03_ROI1,1.061,1.000,0.389,0.045,0.048,0.009,-0.090,0.042,0.034,0.252,0.028
160715_03_ROI2,0.832,1.000,0.450,0.543,0.341,-0.201,0.259,-0.006,0.154,-0.027,-0.004
